id,price_date,price_off_peak_var,price_peak_var,price_mid_peak_var,price_off_peak_fix,price_peak_fix,price_mid_peak_fix
038af19179925da21a25619c5a24b745,2015-01-01,0.151367,0.0,0.0,44.26693116,0.0,0.0
038af19179925da21a25619c5a24b745,2015-02-01,0.151367,0.0,0.0,44.26693116,0.0,0.0
038af19179925da21a25619c5a24b745,2015-03-01,0.151367,0.0,0.0,44.26693116,0.0,0.0
038af19179925da21a25619c5a24b745,2015-04-01,0.149626,0.0,0.0,44.26693116,0.0,0.0
038af19179925da21a25619c5a24b745,2015-05-01,0.149626,0.0,0.0,44.26693116,0.0,0.0
038af19179925da21a25619c5a24b745,2015-06-01,0.149626,0.0,0.0,44.26692996,0.0,0.0
038af19179925da21a25619c5a24b745,2015-07-01,0.150321,0.0,0.0,44.44470996,0.0,0.0
038af19179925da21a25619c5a24b745,2015-08-01,0.145859,0.0,0.0,44.44470996,0.0,0.0
038af19179925da21a25619c5a24b745,2015-09-01,0.145859,0.0,0.0,44.44470996,0.0,0.0
038af19179925da21a25619c5a24b745,2015-10-01,0.145859,0.0,0.0,44.44470996,0.0,0.0
038af19179925da21a25619c5a24b745,2015-11-01,0.145859,0.0,0.0,44.44470996,0.0,0.0
038af19179925da21a25619c5a24b745,2015-12-01,0.145859,0.0,0.0,44.44470996,0.0,0.0
31f2ce549924679a3cbb2d128ae9ea43,2015-01-01,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,2015-02-01,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,2015-03-01,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,2015-04-01,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,2015-05-01,0.124815,0.102234,0.070375,40.56596939999999,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,2015-06-01,0.126916,0.10524,0.07515,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,2015-07-01,0.126916,0.10524,0.07515,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,2015-08-01,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,2015-09-01,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,2015-10-01,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,2015-11-01,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,2015-12-01,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
36b6352b4656216bfdb96f01e9a94b4e,2015-01-01,0.1230859999999999,0.100505,0.068646,40.56596939999999,24.33958068,16.22638872
